steps_by_episode,steps,episode,episode_reward,terminated,truncated,total_steps_with_skills
2512,2512,0,1662.8574014424587,1,0,1977
2393,4905,1,1689.8231375813536,1,0,1865
1708,6613,2,1335.3084238296237,1,0,1390
1517,8130,3,1186.809911271744,1,0,1228
6001,14131,4,3702.3755768909755,0,1,3521
6001,20132,5,3493.6016616618904,0,1,3767
1620,21752,6,1279.151925918601,1,0,1245
1377,23129,7,1067.6093857661485,1,0,1073
6001,29130,8,4230.565731146841,0,1,4611
6001,35131,9,4332.1296106955415,0,1,4398
6001,41132,10,4315.252726943238,0,1,4274
6001,47133,11,4324.514547313878,0,1,2982
6001,53134,12,4230.715115058467,0,1,3296
6001,59135,13,4109.615026749322,0,1,4526
1789,60924,14,1270.4545824984173,1,0,1365
6001,66925,15,3961.66935227279,0,1,4437
6001,72926,16,3973.0791987084017,0,1,4381
6001,78927,17,3952.474653149302,0,1,4390
6001,84928,18,3935.8319925790233,0,1,4451
6001,90929,19,3934.2008469108805,0,1,4337
6001,96930,20,3894.679193535988,0,1,4355
6001,102931,21,3867.5217527155983,0,1,4312
6001,108932,22,3880.4855610398076,0,1,4224
6001,114933,23,3849.1945645780706,0,1,4261
6001,120934,24,3879.56537275382,0,1,4121
6001,126935,25,3784.0738651797515,0,1,4187
6001,132936,26,3857.0441498323,0,1,4078
6001,138937,27,3880.80883094984,0,1,4110
6001,144938,28,3867.7456296905348,0,1,4186
6001,150939,29,3899.0097167641225,0,1,4086
6001,156940,30,3858.727337527705,0,1,4047
6001,162941,31,3870.9384153187107,0,1,3962
6001,168942,32,3892.3294286554183,0,1,3896
6001,174943,33,3840.4982041207854,0,1,3971
6001,180944,34,3799.9813876032104,0,1,3967
6001,186945,35,3783.748975238819,0,1,4013
6001,192946,36,3800.3157880801728,0,1,3936
6001,198947,37,3832.7275670159065,0,1,3878
6001,204948,38,3845.0896319274743,0,1,3964
6001,210949,39,3788.0491838493144,0,1,3857
6001,216950,40,3786.029600364948,0,1,3841
6001,222951,41,3782.2128380374543,0,1,3879
6001,228952,42,3782.53115144276,0,1,3870
6001,234953,43,3769.5428283823067,0,1,3819
6001,240954,44,3759.052421058212,0,1,3821
6001,246955,45,3806.7675575057906,0,1,3796
6001,252956,46,3787.0210582708974,0,1,3807
6001,258957,47,3783.51915571607,0,1,3842
6001,264958,48,3906.8747633449566,0,1,3869
6001,270959,49,3914.6400842153757,0,1,3824
6001,276960,50,3905.2899326762035,0,1,3893
6001,282961,51,3898.3703064707856,0,1,3853
6001,288962,52,3833.5558481149624,0,1,3786
6001,294963,53,3886.675028531179,0,1,3691
6001,300964,54,3814.8975545074877,0,1,3741
6001,306965,55,3746.9204384527015,0,1,3688
6001,312966,56,3724.510610463425,0,1,3683
6001,318967,57,3694.9204694906125,0,1,3651
6001,324968,58,3722.1235023210406,0,1,3588
