steps_by_episode,steps,episode,episode_reward,terminated,truncated,total_steps_with_skills
4034,4034,0,1041.5284680174286,0,1,3189
4480,8514,1,1194.868459952598,0,1,3638
3252,11766,2,845.6043069862321,0,1,2628
2531,14297,3,782.5224839332477,0,1,2004
6001,20298,4,2725.7648916164653,0,1,4626
6001,26299,5,2312.8799498445396,0,1,4639
4474,30773,6,1551.5954247649688,0,1,3551
3873,34646,7,1093.339813941465,0,1,3067
3958,38604,8,1089.4437539709074,0,1,3115
6001,44605,9,1832.7866506371563,0,1,4516
4726,49331,10,1700.6404153971466,0,1,3590
5116,54447,11,1755.7713723630766,0,1,3848
6001,60448,12,3427.3681027345583,0,1,4392
6001,66449,13,2610.389960995341,0,1,4557
6001,72450,14,3241.4273314905254,0,1,4400
6001,78451,15,3507.149398495433,0,1,4349
6001,84452,16,3683.7531704873127,0,1,4299
6001,90453,17,3238.7633042283765,0,1,4319
6001,96454,18,3792.3265207673708,0,1,4213
6001,102455,19,3938.360666840314,0,1,4216
6001,108456,20,3980.902720058138,0,1,4195
6001,114457,21,3804.6293511255917,0,1,4181
6001,120458,22,3882.7778437979136,0,1,4128
6001,126459,23,3476.6493382443477,0,1,4229
6001,132460,24,3774.650228771728,0,1,4086
6001,138461,25,3615.4362054694766,0,1,4071
6001,144462,26,3964.6435871500744,0,1,4107
6001,150463,27,3954.2543194439195,0,1,4000
6001,156464,28,3258.3464886066267,0,1,4040
6001,162465,29,3921.4075853250433,0,1,4055
6001,168466,30,4006.968079946247,0,1,4062
6001,174467,31,3465.735758702838,0,1,3939
6001,180468,32,3835.1189413405273,0,1,4040
6001,186469,33,3895.7217172517244,0,1,3965
6001,192470,34,3771.5901381931603,0,1,3918
6001,198471,35,3605.0788149007008,0,1,3794
6001,204472,36,3949.067356546595,0,1,3841
6001,210473,37,3709.8377853826487,0,1,3779
6001,216474,38,3941.254153148752,0,1,3891
6001,222475,39,3792.887785291303,0,1,3754
6001,228476,40,4011.9752169108683,0,1,3802
6001,234477,41,3908.3523558988345,0,1,3726
6001,240478,42,3743.444990793662,0,1,3666
6001,246479,43,3660.462441710922,0,1,3658
6001,252480,44,3768.379772082603,0,1,3688
6001,258481,45,3738.7386511181694,0,1,3632
6001,264482,46,3709.430914938652,0,1,3682
6001,270483,47,3616.4828941405726,0,1,3677
6001,276484,48,3777.7774038950015,0,1,3599
6001,282485,49,3898.98135270571,0,1,3551
6001,288486,50,4088.4257340273825,0,1,3669
6001,294487,51,4119.111700265056,0,1,3620
6001,300488,52,4176.273339572495,0,1,3524
6001,306489,53,3814.191107283078,0,1,3612
6001,312490,54,3751.558992634984,0,1,3581
6001,318491,55,3956.3780562264387,0,1,3574
6001,324492,56,4299.180686086538,0,1,3515
6001,330493,57,4100.23529752331,0,1,3506
6001,336494,58,4305.612246041455,0,1,3501
6001,342495,59,4203.626059514498,0,1,3510
6001,348496,60,4005.860533887143,0,1,3473
6001,354497,61,4198.717831682284,0,1,3452
6001,360498,62,4073.0818598738183,0,1,3450
6001,366499,63,4109.891183856122,0,1,3539
6001,372500,64,3990.8187858135443,0,1,3436
6001,378501,65,4006.4436639445457,0,1,3414
6001,384502,66,4150.491974290022,0,1,3398
6001,390503,67,4173.3204219068975,0,1,3396
6001,396504,68,4271.816167561631,0,1,3381
6001,402505,69,4006.230694380847,0,1,3464
