steps_by_episode,steps,episode,episode_reward,terminated,truncated,total_steps_with_skills
3444,3444,0,327.1964130724954,0,1,2826
7501,10945,1,2906.3756210597007,0,1,5821
2585,13530,2,1709.061419897799,1,0,1953
4481,18011,3,2553.452497994181,1,0,3541
2049,20060,4,1270.843184594811,1,0,1591
6150,26210,5,4233.342179006848,1,0,4710
1755,27965,6,1278.8049540015238,1,0,1395
7501,35466,7,5167.671514388168,0,1,5787
3634,39100,8,2470.9630450128225,1,0,2402
7501,46601,9,4895.99996797115,0,1,5210
2283,48884,10,1573.007898013033,1,0,1642
1479,50363,11,1118.3195369042216,1,0,1124
7501,57864,12,5155.808200293084,0,1,5601
6781,64645,13,4742.383703905791,1,0,4958
1757,66402,14,1209.67332216987,1,0,1325
7501,73903,15,5059.766223081849,0,1,5580
7501,81404,16,5035.489673150798,0,1,5229
6669,88073,17,4612.692547164118,1,0,4551
2561,90634,18,1688.8354405697846,1,0,1840
6745,97379,19,4655.084944275411,1,0,4861
7501,104880,20,4851.723245773352,0,1,4262
3618,108498,21,2306.878597380938,1,0,2594
5629,114127,22,3822.4113512755494,1,0,3582
6317,120444,23,4173.814374519437,1,0,3973
7501,127945,24,5026.217998948773,0,1,5001
1285,129230,25,975.1969862740956,1,0,890
7501,136731,26,4996.561856336401,0,1,5232
7501,144232,27,5075.2169002343435,0,1,5233
1177,145409,28,902.841007819532,1,0,804
7501,152910,29,4926.797042384486,0,1,5245
7501,160411,30,4946.389301102204,0,1,4918
1304,161715,31,957.5208198217643,1,0,810
7501,169216,32,4948.51216362292,0,1,4927
7501,176717,33,4805.278270061905,0,1,4488
7501,184218,34,4959.405946864579,0,1,4958
7501,191719,35,4811.190758650996,0,1,4820
1054,192773,36,800.4337661322332,1,0,689
7501,200274,37,4898.486899685407,0,1,4976
7501,207775,38,4906.529557848397,0,1,4920
7501,215276,39,4802.338968448599,0,1,4465
7501,222777,40,4898.924380876744,0,1,4785
7333,230110,41,4848.710547081372,1,0,4675
7501,237611,42,5097.6311972490885,0,1,4911
7501,245112,43,5000.266809148489,0,1,4793
7501,252613,44,4980.85611587185,0,1,4750
7501,260114,45,4925.186362044649,0,1,4751
7501,267615,46,5020.737319062037,0,1,4803
7501,275116,47,4851.618580907808,0,1,4542
7501,282617,48,4900.665099139112,0,1,4668
7501,290118,49,4893.462680081437,0,1,4663
7501,297619,50,5030.402196397425,0,1,4689
7501,305120,51,4928.542833779165,0,1,4340
7501,312621,52,4813.925463189492,0,1,4410
7501,320122,53,4779.932000066282,0,1,4145
7501,327623,54,4870.439059923914,0,1,4469
7501,335124,55,4945.235790896877,0,1,4580
7501,342625,56,4811.870891746705,0,1,4560
7501,350126,57,4897.976311329067,0,1,4485
7501,357627,58,4803.69946534804,0,1,4502
7501,365128,59,4883.444611785957,0,1,4474
7501,372629,60,4829.4842614660365,0,1,4478
7501,380130,61,4838.988596010329,0,1,4463
7501,387631,62,4854.2483068971915,0,1,4369
